assay,chrom,w_mono,w_triso,mu_A,mu_R,mu_T,target_div,pop_id
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49262
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49263
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49264
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49265
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49266
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49267
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49268
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49269
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49270
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49271
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49272
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49273
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49274
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49275
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49276
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49277
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49278
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49279
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49280
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49281
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49282
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49283
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49284
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49285
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49286
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49287
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49288
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49289
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49290
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49291
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49292
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49293
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49294
